"Position","Axis","Members","Pool","Group_Size","Total_Nucleons","Protons","Neutrons","Delta_P_N","Total_mod37","Protons_mod37","Neutrons_mod37","Delta_mod37"
1,"Keto","{G, T}","sense",29,3504,1876,1628,248,26,26,0,26
1,"Amino","{A, C}","sense",31,4265,2304,1961,343,10,10,0,10
1,"Strong","{C, G}","sense",32,3966,2136,1830,306,7,27,17,10
1,"Weak","{A, T}","sense",28,3803,2044,1759,285,29,9,20,26
1,"Purine","{A, G}","sense",31,3667,1976,1691,285,4,15,26,26
1,"Pyrimidine","{C, T}","sense",29,4102,2204,1898,306,32,21,11,10
1,"Keto","{G, T}","key0",32,3504,1876,1628,248,26,26,0,26
1,"Amino","{A, C}","key0",32,4414,2384,2030,354,11,16,32,21
1,"Strong","{C, G}","key0",32,3966,2136,1830,306,7,27,17,10
1,"Weak","{A, T}","key0",32,3952,2124,1828,296,30,15,15,0
1,"Purine","{A, G}","key0",32,3816,2056,1760,296,5,21,21,0
1,"Pyrimidine","{C, T}","key0",32,4102,2204,1898,306,32,21,11,10
1,"Keto","{G, T}","key1",32,3726,1987,1739,248,26,26,0,26
1,"Amino","{A, C}","key1",32,4266,2305,1961,344,11,11,0,11
1,"Strong","{C, G}","key1",32,3966,2136,1830,306,7,27,17,10
1,"Weak","{A, T}","key1",32,4026,2156,1870,286,30,10,20,27
1,"Purine","{A, G}","key1",32,3668,1977,1691,286,5,16,26,27
1,"Pyrimidine","{C, T}","key1",32,4324,2315,2009,306,32,21,11,10
2,"Keto","{G, T}","sense",30,3977,2152,1825,327,18,6,12,31
2,"Amino","{A, C}","sense",30,3792,2028,1764,264,18,30,25,5
2,"Strong","{C, G}","sense",31,3712,1992,1720,272,12,31,18,13
2,"Weak","{A, T}","sense",29,4057,2188,1869,319,24,5,19,23
2,"Purine","{A, G}","sense",29,4080,2180,1900,280,10,34,13,21
2,"Pyrimidine","{C, T}","sense",31,3689,2000,1689,311,26,2,24,15
2,"Keto","{G, T}","key0",32,4126,2232,1894,338,19,12,7,5
2,"Amino","{A, C}","key0",32,3792,2028,1764,264,18,30,25,5
2,"Strong","{C, G}","key0",32,3712,1992,1720,272,12,31,18,13
2,"Weak","{A, T}","key0",32,4206,2268,1938,330,25,11,14,34
2,"Purine","{A, G}","key0",32,4080,2180,1900,280,10,34,13,21
2,"Pyrimidine","{C, T}","key0",32,3838,2080,1758,322,27,8,19,26
2,"Keto","{G, T}","key1",32,4052,2190,1862,328,19,7,12,32
2,"Amino","{A, C}","key1",32,3940,2102,1838,264,18,30,25,5
2,"Strong","{C, G}","key1",32,3786,2029,1757,272,12,31,18,13
2,"Weak","{A, T}","key1",32,4206,2263,1943,320,25,6,19,24
2,"Purine","{A, G}","key1",32,4302,2291,2011,280,10,34,13,21
2,"Pyrimidine","{C, T}","key1",32,3690,2001,1689,312,27,3,24,16
3,"Keto","{G, T}","sense",30,3921,2108,1813,295,36,36,0,36
3,"Amino","{A, C}","sense",30,3848,2072,1776,296,0,0,0,0
3,"Strong","{C, G}","sense",30,3921,2108,1813,295,36,36,0,36
3,"Weak","{A, T}","sense",30,3848,2072,1776,296,0,0,0,0
3,"Purine","{A, G}","sense",28,3673,1984,1689,295,10,23,24,36
3,"Pyrimidine","{C, T}","sense",32,4096,2196,1900,296,26,13,13,0
3,"Keto","{G, T}","key0",32,4070,2188,1882,306,0,5,32,10
3,"Amino","{A, C}","key0",32,3848,2072,1776,296,0,0,0,0
3,"Strong","{C, G}","key0",32,4070,2188,1882,306,0,5,32,10
3,"Weak","{A, T}","key0",32,3848,2072,1776,296,0,0,0,0
3,"Purine","{A, G}","key0",32,3822,2064,1758,306,11,29,19,10
3,"Pyrimidine","{C, T}","key0",32,4096,2196,1900,296,26,13,13,0
3,"Keto","{G, T}","key1",32,3996,2146,1850,296,0,0,0,0
3,"Amino","{A, C}","key1",32,3996,2146,1850,296,0,0,0,0
3,"Strong","{C, G}","key1",32,3996,2146,1850,296,0,0,0,0
3,"Weak","{A, T}","key1",32,3996,2146,1850,296,0,0,0,0
3,"Purine","{A, G}","key1",32,3896,2096,1800,296,11,24,24,0
3,"Pyrimidine","{C, T}","key1",32,4096,2196,1900,296,26,13,13,0
